Piet Piraat en de mysterieuze mummie;Piet Piraat krijgt de opdracht van zijn tante Cleo om een sarcofaag te vervoeren. Deze sarcofaag moet van haar museum naar een piramide in Egypte gevaren worden. Volgens een zeer oude legende zou er een mummie in de sarcofaag zitten;12:14
A Monsterous Holiday;Een jonge wetenschapper moet zijn stadje redden als hij per ongeluk een monster maakt.;14:18
Askeladden - I Dovregubbens hall;Espen is de zoon van een arme boer. Hij onderneemt een gevaarlijke queeste met zijn broers om een prinses te redden van een gevaarlijke bergtrol die bekend staat als de Mountain King. Als ze haar redden, krijgen ze een fortuin en daarmee kunnen ze de familieboerderij van de ondergang redden.;14:25
Big Game;Een tiener die kampeert in de bossen, moet de Amerikaanse President redden als Air Force One neergeschoten wordt, vlakbij zijn kampeerplek.;19:30
Jack Reacher: Never Go Back;Jack  Reacher vertrekt naar zijn vroegere militaire basis in Virginia, waar hij heeft afgesproken met Major Susan Turner. De ontmoeting wordt echter uitgesteld wanneer blijkt dat Turner is gearresteerd. Er is wel een andere officier die Reacher beschuldigt van een misdaad waarvan hij zich niet kan herinneren dat hij hem ooit heeft begaan. Schijnbaar was hier ook een kind bij betrokken. Reacher gaat op zoek naar Turner zodat hij zijn naam kan zuiveren voordat het leger, de FBI, de politie en een zooitje criminelen hem weten te achterhalen.;19:30
Ender's Game;De film speelt zich af in de toekomst waarin de mensheid nauwelijks weet te overleven in de oorlog met de Formics, een buitenaards insectenras. In voorbereiding op een derde invasie heeft een internationale vloot een school opgebouwd om de meest getalenteerde kinderen op te leiden tot toekomstige commandanten. De hoofdpersoon, Ender Wiggin, komt op zeer jonge leeftijd in een trainingscentrum terecht dat ook wel bekendstaat als 'Battle School'. De leraren trainen door middel van oorlogstechnieken in combinatie met ontzettend moeilijke spellen waardoor het tactische genie bij Ender naar boven wordt gehaald.;21:10
Walking Tall;Chris Vaughn verlaat het leger en keert terug naar zijn woonplaats om een nieuw leven te beginnen. Daar aangekomen blijkt dat zijn oude high school-rivaal Hamilton, de oude molen van het stadje voor zijn eigen criminele gewin gebruikt. Het gevolg is dat Chris' woonplaatsje barst van de criminalitiet en het geweld. Met behulp van zijn oude maatje Ray wordt Chris tot de nieuwe sheriff gekozen en belooft de praktijken van Hamilton te stoppen. Remake van de gelijknamige film uit 1973.;21:50
